Time - RF	Amplitude - RF	Time - CRF	Amplitude - CRF	
0	10	0	3	
1	10	1	3	
2	10	2	3	
3	9	3	3	
4	9	4	3	
5	9	5	3	
6	8	6	2	
7	8	7	2	
8	8	8	2	
9	7	9	2	
10	7	10	2	
11	7	11	2	
12	6	12	2	
13	6	13	2	
14	6	14	2	
15	5	15	2	
16	5	16	2	
17	5	17	2	
18	5	18	1	
19	4	19	1	
20	4	20	1	
21	4	21	1	
22	4	22	1	
23	4	23	1	
24	4	24	0	
25	3	25	0	
26	3	26	0	
27	3	27	0	
28	3	28	0	
29	3	29	0	
30	3	30	0	
31	3	31	-1	
32	2	32	-1	
33	2	33	-1	
34	2	34	-1	
35	2	35	-1	
36	1	36	-1	
37	1	37	-1	
38	1	38	-1	
39	1	39	-1	
40	0	40	-1	
41	0	41	-1	
42	0	42	-1	
43	0	43	-1	
44	-1	44	-2	
45	-1	45	-2	
46	-1	46	-2	
47	-1	47	-2	
48	-2	48	-2	
49	-2	49	-2	
50	-2	50	-2	
51	-2	51	-2	
52	-3	52	-2	
53	-3	53	-2	
54	-3	54	-2	
55	-3	55	-2	
56	-3	56	-3	
57	-4	57	-3	
58	-4	58	-3	
59	-4	59	-3	
60	-4	60	-3	
61	-4	61	-3	
62	-4	62	-4	
63	-5	63	-4	
64	-5	64	-4	
65	-5	65	-4	
66	-5	66	-4	
67	-5	67	-4	
68	-5	68	-4	
69	-6	69	-4	
70	-6	70	-4	
71	-6	71	-4	
72	-6	72	-4	
73	-7	73	-4	
74	-7	74	-4	
75	-7	75	-4	
76	-7	76	-4	
77	-8	77	-4	
78	-8	78	-4	
79	-8	79	-4	
80	-8	80	-4	
81	-8	81	-5	
82	-9	82	-5	
83	-9	83	-5	
84	-9	84	-5	
85	-9	85	-5	
86	-9	86	-5	
87	-9	87	-5	
88	-10	88	-6	
89	-10	89	-6	
90	-10	90	-6	
91	-10	91	-6	
92	-10	92	-6	
93	-10	93	-7	
94	-11	94	-7	
95	-11	95	-7	
96	-11	96	-7	
97	-11	97	-8	
98	-12	98	-8	
99	-12	99	-8	
100	-12	100	-8	
101	-12	101	-9	
102	-12	102	-9	
103	-13	103	-9	
104	-13	104	-9	
105	-13	105	-9	
106	-13	106	-9	
107	-14	107	-9	
108	-14	108	-9	
109	-14	109	-10	
110	-15	110	-10	
111	-15	111	-10	
112	-15	112	-9	
113	-15	113	-9	
114	-15	114	-9	
115	-16	115	-9	
116	-16	116	-9	
117	-16	117	-9	
118	-16	118	-9	
119	-17	119	-10	
120	-17	120	-10	
121	-17	121	-10	
122	-17	122	-10	
123	-17	123	-10	
124	-17	124	-10	
125	-18	125	-10	
126	-18	126	-10	
127	-18	127	-10	
128	-18	128	-10	
129	-18	129	-10	
130	-18	130	-10	
131	-18	131	-10	
132	-19	132	-10	
133	-19	133	-10	
134	-19	134	-10	
135	-19	135	-10	
136	-19	136	-10	
137	-19	137	-10	
138	-19	138	-10	
139	-20	139	-10	
140	-20	140	-10	
141	-20	141	-10	
142	-20	142	-10	
143	-20	143	-10	
144	-21	144	-10	
145	-21	145	-11	
146	-21	146	-11	
147	-21	147	-11	
148	-22	148	-11	
149	-22	149	-11	
150	-22	150	-11	
151	-22	151	-11	
152	-23	152	-11	
153	-23	153	-11	
154	-23	154	-11	
155	-23	155	-11	
156	-23	156	-12	
157	-24	157	-12	
158	-24	158	-12	
159	-24	159	-12	
160	-24	160	-12	
161	-24	161	-12	
162	-24	162	-13	
163	-25	163	-13	
164	-25	164	-13	
165	-25	165	-13	
166	-25	166	-13	
167	-25	167	-13	
168	-25	168	-13	
169	-26	169	-13	
170	-26	170	-13	
171	-26	171	-13	
172	-26	172	-13	
173	-26	173	-13	
174	-26	174	-13	
175	-26	175	-13	
176	-27	176	-13	
177	-27	177	-13	
178	-27	178	-13	
179	-27	179	-13	
180	-27	180	-13	
181	-27	181	-13	
182	-28	182	-14	
183	-28	183	-14	
184	-28	184	-14	
185	-28	185	-14	
186	-28	186	-14	
187	-28	187	-14	
188	-29	188	-14	
189	-29	189	-14	
190	-29	190	-14	
191	-29	191	-14	
192	-29	192	-14	
193	-29	193	-14	
194	-29	194	-15	
195	-30	195	-15	
196	-30	196	-15	
197	-30	197	-15	
198	-30	198	-15	
199	-30	199	-15	
200	-30	200	-15	
201	-30	201	-15	
202	-30	202	-15	
203	-30	203	-15	
204	-30	204	-15	
205	-30	205	-15	
206	-30	206	-16	
207	-31	207	-16	
208	-31	208	-16	
209	-31	209	-16	
210	-31	210	-16	
211	-31	211	-16	
212	-31	212	-16	
213	-31	213	-16	
214	-31	214	-16	
215	-31	215	-16	
216	-31	216	-16	
217	-31	217	-16	
218	-31	218	-16	
219	-31	219	-16	
220	-31	220	-16	
221	-31	221	-16	
222	-31	222	-17	
223	-31	223	-17	
224	-31	224	-17	
225	-31	225	-17	
226	-31	226	-16	
227	-31	227	-16	
228	-31	228	-16	
229	-31	229	-16	
230	-31	230	-16	
231	-31	231	-16	
232	-32	232	-16	
233	-32	233	-16	
234	-32	234	-16	
235	-32	235	-16	
236	-32	236	-16	
237	-32	237	-16	
238	-33	238	-16	
239	-33	239	-16	
240	-33	240	-16	
241	-33	241	-15	
242	-33	242	-15	
243	-33	243	-15	
244	-33	244	-15	
245	-33	245	-15	
246	-34	246	-15	
247	-34	247	-15	
248	-34	248	-15	
249	-34	249	-15	
250	-33	250	-15	
251	-33	251	-15	
252	-33	252	-15	
253	-33	253	-15	
